,size,median,p-Val,treatment
0,30.0,1.0,1.0,Sign Test
1,30.0,1.0,1.0,Sign Test
2,30.0,1.0,1.0,Sign Test
3,30.0,1.0,1.0,Sign Test
4,30.0,1.0,1.0,Sign Test
5,30.0,1.0,1.0,Sign Test
6,30.0,1.0,1.0,Sign Test
7,30.0,1.0,1.0,Sign Test
8,30.0,1.0,1.0,Sign Test
9,30.0,1.0,1.0,Sign Test
10,30.0,1.0,1.0,Sign Test
11,30.0,1.0,1.0,Sign Test
12,30.0,1.0,1.0,Sign Test
13,30.0,1.0,1.0,Sign Test
14,30.0,1.0,1.0,Sign Test
15,30.0,1.0,1.0,Sign Test
16,30.0,1.0,1.0,Sign Test
17,30.0,1.0,1.0,Sign Test
18,30.0,1.0,1.0,Sign Test
19,30.0,1.0,1.0,Sign Test
20,30.0,1.0,1.0,Sign Test
21,30.0,1.0,1.0,Sign Test
22,30.0,1.0,1.0,Sign Test
23,30.0,1.0,1.0,Sign Test
24,30.0,1.0,1.0,Sign Test
25,30.0,1.0,1.0,Sign Test
26,30.0,1.0,1.0,Sign Test
27,30.0,1.0,1.0,Sign Test
28,30.0,1.0,1.0,Sign Test
29,30.0,1.0,1.0,Sign Test
30,30.0,1.0,1.0,Sign Test
31,30.0,1.0,1.0,Sign Test
32,30.0,1.0,1.0,Sign Test
33,30.0,1.0,1.0,Sign Test
34,30.0,1.0,1.0,Sign Test
35,30.0,1.0,1.0,Sign Test
36,30.0,1.0,1.0,Sign Test
37,30.0,1.0,1.0,Sign Test
38,30.0,1.0,1.0,Sign Test
39,30.0,1.0,1.0,Sign Test
40,30.0,1.0,1.0,Sign Test
41,30.0,1.0,1.0,Sign Test
42,30.0,1.0,1.0,Sign Test
43,30.0,1.0,1.0,Sign Test
44,30.0,1.0,1.0,Sign Test
45,30.0,1.0,1.0,Sign Test
46,30.0,1.0,1.0,Sign Test
47,30.0,1.0,1.0,Sign Test
48,30.0,1.0,1.0,Sign Test
49,30.0,1.0,1.0,Sign Test
50,30.0,1.0,1.0,Sign Test
51,30.0,1.0,1.0,Sign Test
52,30.0,1.0,1.0,Sign Test
53,30.0,1.0,1.0,Sign Test
54,30.0,1.0,1.0,Sign Test
55,30.0,1.0,1.0,Sign Test
56,30.0,1.0,0.9999999990686774,Sign Test
57,30.0,1.0,1.0,Sign Test
58,30.0,1.0,1.0,Sign Test
59,30.0,1.0,1.0,Sign Test
60,30.0,1.0,1.0,Sign Test
61,30.0,1.0,1.0,Sign Test
62,30.0,1.0,1.0,Sign Test
63,30.0,1.0,1.0,Sign Test
64,30.0,1.0,1.0,Sign Test
65,30.0,1.0,1.0,Sign Test
66,30.0,1.0,1.0,Sign Test
67,30.0,1.0,1.0,Sign Test
68,30.0,1.0,1.0,Sign Test
69,30.0,1.0,1.0,Sign Test
70,30.0,1.0,1.0,Sign Test
71,30.0,1.0,1.0,Sign Test
72,30.0,1.0,1.0,Sign Test
73,30.0,1.0,1.0,Sign Test
74,30.0,1.0,1.0,Sign Test
75,30.0,1.0,1.0,Sign Test
76,30.0,1.0,1.0,Sign Test
77,30.0,1.0,1.0,Sign Test
78,30.0,1.0,1.0,Sign Test
79,30.0,1.0,1.0,Sign Test
80,30.0,1.0,1.0,Sign Test
81,30.0,1.0,1.0,Sign Test
82,30.0,1.0,1.0,Sign Test
83,30.0,1.0,1.0,Sign Test
84,30.0,1.0,1.0,Sign Test
85,30.0,1.0,1.0,Sign Test
86,30.0,1.0,1.0,Sign Test
87,30.0,1.0,1.0,Sign Test
88,30.0,1.0,1.0,Sign Test
89,30.0,1.0,1.0,Sign Test
90,30.0,1.0,1.0,Sign Test
91,30.0,1.0,1.0,Sign Test
92,30.0,1.0,1.0,Sign Test
93,30.0,1.0,1.0,Sign Test
94,30.0,1.0,1.0,Sign Test
95,30.0,1.0,1.0,Sign Test
96,30.0,1.0,1.0,Sign Test
97,30.0,1.0,1.0,Sign Test
98,30.0,1.0,1.0,Sign Test
99,30.0,1.0,1.0,Sign Test
100,30.0,1.0,1.0,Sign Test
101,30.0,1.0,1.0,Sign Test
102,30.0,1.0,1.0,Sign Test
103,30.0,1.0,1.0,Sign Test
104,30.0,1.0,1.0,Sign Test
105,30.0,1.0,1.0,Sign Test
106,30.0,1.0,1.0,Sign Test
107,30.0,1.0,1.0,Sign Test
108,30.0,1.0,1.0,Sign Test
109,30.0,1.0,1.0,Sign Test
110,30.0,1.0,1.0,Sign Test
111,30.0,1.0,1.0,Sign Test
112,30.0,1.0,1.0,Sign Test
113,30.0,1.0,1.0,Sign Test
114,30.0,1.0,1.0,Sign Test
115,30.0,1.0,1.0,Sign Test
